Unit Address,Property Name,WIFI Network and Password,Media Network and Password,Home Instructions,While You're There,Upon Departure,Important Things To Know,Check-In Time,Check-Out Time
"590 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 590,590 esvrm.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. The outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"594 W 470 N., Moab, UT, 84532, US",Entrada at Moab 594 and 598,594/598 esvrm.com : goodtimes,Media 594 ESVRM : watchthis,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"594 W 470 N., Moab, UT, 84532, US",Entrada at Moab 594,594 esvrm.com: goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"598 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 598,598 esvrm.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"602 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 602,602 esvrm.com: goodtimes,,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"602 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 598 and 602,598/602 esvrm.com: goodtimes,Media 598/602 ESVRM : watchthis,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"611 W 400 N, Moab, UT, 84532, US",Entrada at Moab 611,611 esvrm.com : goodtimes,,* CHECK-IN : 4 pm * CHECK-OUT : 11 am * POOL GATE CODE : 234,"1.The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2.Only colored pool towels are to be used outside in the pool area. 3.Keep all food and drink in the kitchen and dining areas. 4.When putting food into the garbage disposal; bigger, harder items should be thrown away. 5.Please remove your shoes while in the home. 6.Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7.Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8.Please do not move things from one home to another, if you are staying in other Entradas. 9.The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10.The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11.Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1.If there are any items in need of maintenance or our attention, please let management know. 2.Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3.We love providing all the essentials, but please only the welcome items are to go home with you. 4.You may leave your linens and towels where they are; housekeeping will take care of laundry. 5.Remove all food and collect your personal belongings. 6.Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7.Return all television remotes back to where you found them. 8.Return the garage remote to the kitchen counter. 9.Turn off all lights and electronic equipment and lock all the doors and windows.","1.CHECK-IN – 4 pm 2.CHECK-OUT – 11 am 3.POOL GATE CODE – 234 4.Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5.Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6.Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7.This home is not pet-friendly. If it is found that an animal has been inside the property, you will be charged damages of up to $500. 8.There is no landline telephone. 9.All trash and recycling must be taken to the collection area located on the west side of the Entradas.",16:00,11:00
"611 W 400 N, Moab, UT, 84532, US",Entrada at Moab 429 and 611,611/429 esvrm.com : goodtimes,611/429 esvrm.com : goodtimes,* CHECK-IN : 4 pm * CHECK-OUT : 11 am * POOL GATE CODE : 234,"1.The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2.Only colored pool towels are to be used outside in the pool area. 3.Keep all food and drink in the kitchen and dining areas. 4.When putting food into the garbage disposal; bigger, harder items should be thrown away. 5.Please remove your shoes while in the home. 6.Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7.Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8.Please do not move things from one home to another, if you are staying in other Entradas. 9.The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10.The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11.Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1.If there are any items in need of maintenance or our attention, please let management know. 2.Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3.We love providing all the essentials, but please only the welcome items are to go home with you. 4.You may leave your linens and towels where they are; housekeeping will take care of laundry. 5.Remove all food and collect your personal belongings. 6.Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7.Return all television remotes back to where you found them. 8.Return the garage remote to the kitchen counter. 9.Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is not pet-friendly. If it is found that an animal has been inside the property, you will be charged damages of up to $500. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. For Multi-home rentals all pets must stay in the pet friendly unit(s). Please note: one of the homes in your rental (Entrada 429) is not pet-friendly. Pets must stay in the pet-friendly units(s) only. 11. For animal conscientious properties, with written pre-approval and a one hundred and fifty dollar ($150) animal fee, one dog only is permitted in the rental home or a two hundred and fifty dollar ($250) animal fee and up to two dogs only are permitted in the rental home. The Renter(s)/Tenant(s) is/are required to keep the dog(s) off all furniture and carpeted/rugged areas, be crated if left alone in the home, and remove feces from the property. Failure to do so may result in additional charges. If it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenant(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). We respect service animals. 12. For units that we do not allow animals and it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenants(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). 13. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"619 W 400 N, Moab, UT, 84532, US",Entrada at Moab 619,Media 619 ESVRM : goodtimes,,"* CHECK-IN: 4 pm * CHECK-OUT: 11 am * POOL GATE CODE: 234 -There is no landline telephone. -Trash day is early Monday & Thursday mornings. - Illegal substances are strictly prohibited and are grounds for immediate eviction. -We do not allow animals at this property. If it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenants(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). WHILE YOU'RE THERE: - Remove your shoes while in the home -Do not smoke inside the home, including all tobacco, vaping, and marijuana products - Keep all food and drink in the kitchen and dining areas. -Use care when putting food into the garbage disposal; bigger, throw harder items in the trash -Only designated colored towels are to be used outside in the pool area. Do not use any white towels from the home at the pool. -Be warned that children of all ages can fall and get hurt on bunk beds, be careful. -House parties are strictly prohibited and are grounds for immediate eviction. Enjoy your vacation responsibly. - Any outdoor activity must cease from 10 pm to 7 am (including idling UTVs and Jeeps); this is a Moab City ordinance, as well as common courtesy for your Entrada neighbors. -Help us conserve energy by keeping the exterior doors closed at all times and do not adjust the thermostat. -The thermostat should stay set at 72˙ during the summer and 68˙ during the winter. Feel free to call us if there's a problem with the temperature. -Do not move things from one unit to another. -Leave front-loading washing machine doors ajar when not in use to prevent mildew. UPON DEPARTURE: -Clean all dishes and put them away. Feel free to load the dishwasher with dirty dishes, but make sure to start the cycle before you leave. -Strip all used bed linens and place them and used towels on the floor. -Do not leave wet towels or linens in the washing machine. -Remove all food and personal items and dispose of all trash in garbage cans. -Leave garage remote on the kitchen counter. -Place all AV remotes back where they were when you arrived. -Turn off all interior lights and all electronic equipment. -Check all doors and windows, and make sure that they are secured and locked. -We love putting little extras out for your stay, but please remember that only the welcome items are to go home with you. -If any items were damaged or need maintenance, please let management know.","1.The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2.Only colored pool towels are to be used outside in the pool area. 3.Keep all food and drink in the kitchen and dining areas. 4.When putting food into the garbage disposal; bigger, harder items should be thrown away. 5.Please remove your shoes while in the home. 6.Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7.Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8.Please do not move things from one home to another, if you are staying in other Entradas. 9.The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10.The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11.Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1.If there are any items in need of maintenance or our attention, please let management know. 2.Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3.We love providing all the essentials, but please only the welcome items are to go home with you. 4.You may leave your linens and towels where they are; housekeeping will take care of laundry. 5.Remove all food and collect your personal belongings. 6.Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7.Return all television remotes back to where you found them. 8.Return the garage remote to the kitchen counter. 9.Turn off all lights and electronic equipment and lock all the doors and windows.","1.CHECK-IN – 4 pm 2.CHECK-OUT – 11 am 3.POOL GATE CODE – 234 4.Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5.Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6.Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7.This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8.There is no landline telephone. 9.All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"619 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 619 and 623,619 ESVRM : watchthis / 623 esvrm.com : goodtimes,Media 619 ESVRM : watchthis / Media 623 ESVRM : watchthis,* CHECK-IN: 4 pm * CHECK-OUT: 11 am * POOL GATE CODE: 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. For Multi-home rentals all pets must stay in the pet friendly unit(s). Please note: one of the homes in your rental (Entrada 619) is not pet-friendly. Pets must stay in the pet-friendly units(s) only. 11. For animal conscientious properties, with written pre-approval and a one hundred and fifty dollar ($150) animal fee, one dog only is permitted in the rental home or a two hundred and fifty dollar ($250) animal fee and up to two dogs only are permitted in the rental home. The Renter(s)/Tenant(s) is/are required to keep the dog(s) off all furniture and carpeted/rugged areas, be crated if left alone in the home, and remove feces from the property. Failure to do so may result in additional charges. If it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenant(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). We respect service animals. 12. For units that we do not allow animals and it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenants(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). 13. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
